total number of editions,Title
29,Hiri ezkutua
10,La grande sera - romanzo
31,L'oracolo
23,La torre della solitudine
2,La delfina bizantina
76,Aléxandros
62,Aléxandros - il confine del mondo
31,Gli arancini di Montalbano
66,Aléxandros
20,"Nicolas Eymerich, inquisitore"
7,Il castello di Eymerich
21,Canale Mussolini - romanzo
53,Venuto al mondo - romanzo
140,La solitudine dei numeri primi - romanzo
13,"Un sabato, con gli amici - romanzo"
18,L'eredità di Thuban. La ragazza drago
15,Il destino di Adhara. Leggende del mondo emerso
25,Le prime luci del mattino
11,La strada verso casa
4,Pandora
2,I randagi
124,Gomorra - Viaggio nell'impero economico e nel sogno di dominio della camorra
47,"Bianca come il latte, rossa come il sangue"
27,Il tempo che vorrei
27,Il giorno in più
36,L'armata perduta
33,Il tiranno
53,L'ultima legione
93,Palomar
14,Rinascimento privato
78,Lezioni americane
31,La missione di Sennar. Cronache del mondo emerso
30,Il talismano del potere. Cronache del mondo emerso
40,Nihal della terra del vento. Cronache del mondo emerso
17,Cave canem
10,L'armata dei fiumi perduti
3,"Il fantasma di Mozart, e altri racconti"
11,Le stagioni di Giacomo
1,Il mistero della sedia a rotelle - i casi del capitano Flores
4,New thing
14,Il paese dove non si muore mai
17,Stabat mater
5,Un infinito numero - Virgilio e Mecenate nel paese dei Rasna
6,Cuore di pietra
19,Almost blue
6,Stella del mattino
4,L'italiano
107,Io non ho paura
49,L'arte della gioia
8,Lo spazio bianco
60,Accabadora
56,Q
70,Io e te
9,Carta bianca
18,La regola dell'equilibrio
53,Educazione siberiana
5,I dodici abati di Challant
68,La sostanza del male
12,Manituana
65,I sommersi e i salvati
16,La verità sul caso D
27,Romanzo criminale
12,Della ragion di Stato
83,Le otto montagne
45,L'arminuta
3,Un destino ridicolo
10,Staccando l'ombra da terra
34,Resto qui
16,L'altrui mestiere
11,La ricerca delle radici
13,Lo stadio di Wimbledon
17,Aracoeli
65,Le assaggiatrici
52,Ho voglia di te
78,Tre metri sopra il cielo
17,Margherita Dolcevita
62,Castelli di rabbia
192,Seta
12,In ogni caso nessun rimorso
48,"Omero, Iliade"
21,Terra!
95,Oceano mare
125,Sostiene Pereira. Una testimonianza
8,Altri libertini
13,Baol. Una tranquilla notte di regime
6,"L'orda d'oro. 1968-1977: la grande ondata rivoluzionaria e creativa, politica ed esistenziale"
21,Nina e il mistero dell'ottava nota
68,Danubio
63,Allegro ma non troppo
41,Scusa ma ti chiamo amore
18,La forza della ragione
19,Scusa ma ti voglio sposare
37,La rabbia e l'orgoglio
5,Per questo mi chiamo Giovanni
64,La lunga vita di Marianna Ucrìa
21,Seminario sulla gioventù
29,Insciallah
15,La masseria delle allodole
63,Acciaio
17,Sangue giusto
1,Manuale della perfetta gentildonna
36,Fai bei sogni - romanzo
17,La casa delle voci
95,La vita bugiarda degli adulti
35,Il colibrì
11,Il poema dei lunatici
65,Notturno indiano
21,Sogni di sogni
107,La forma dell'acqua
89,Il cane di terracotta
88,Il ladro di merendine
25,La concessione del telefono
73,La voce del violino
58,L'odore della notte
52,Il giro di boa
9,La presa di Macallè
30,Ad occhi chiusi
2,Assandira
55,La pazienza del ragno
55,La luna di carta
50,La vampa d'agosto
25,Ragionevoli dubbi
44,Le ali della sfinge
46,La pista di sabbia
45,Il campo del vasaio
41,L'età del dubbio
28,Le perfezioni provvisorie
23,Non tutti i bastardi sono di Vienna
18,La scomparsa di Patò
6,Francesca e Nunziata
21,9 agosto 378. Il giorno dei barbari
567,Il nome della rosa
28,Nuova grammatica finlandese
157,Il cimitero di Praga
60,Il secondo diario minimo
142,Baudolino
100,La Misteriosa fiamma della Regina Loana
235,Il pendolo di Foucault
133,L'isola del giorno prima
116,Numero zero
18,Il cavaliere e la morte - sotie
21,Una storia semplice
79,Sette brevi lezioni di fisica
70,L'ordine del tempo
86,Il suggeritore
4,Lo stato dell'unione
22,Ti prego lasciati odiare
34,Il mercante di libri maledetti
12,Le radici del cielo
2,Lungo i vicoli del tempo
2,Nelle nebbie del tempo
209,"L'amica geniale - Volume Primo Infanzia, adolescenza"
155,Storia del nuovo cognome - giovinezza
142,Storia di chi fugge e di chi resta. L'amica geniale
127,L'amica geniale
84,Io uccido
70,Mal di pietre
2,Suicidi dovuti
15,Il fabbricante di specchi - racconti e saggi
56,Cento colpi di spazzola prima di andare a dormire
13,Il cavallo rosso - romanzo
3,Il quinto principio
13,L'ultimo orco
36,L'ultimo elfo
144,Va' dove ti porta il cuore
5,Passavamo sulla terra leggeri
4,L'oro di Fraus
76,Nel mare ci sono i coccodrilli - Storia vera di Enaiatollah Akbari
