,authorlabel2
Andrea Camilleri,20
Valerio Massimo Manfredi,10
Umberto Eco,7
Elena Ferrante,6
Aldo Busi,6
Alessandro Baricco,6
Primo Levi,6
Laura Mancinelli,6
Licia Troisi,6
Sebastiano Vassalli,5
Antonio Tabucchi,5
Fabio Volo,4
Gianrico Carofiglio,4
Moony Witcher,4
Federico Moccia,4
Niccolò Ammaniti,3
Stefano Benni,3
Oriana Fallaci,3
Giulio Angioni,3
Anna Russo,2
Lanfranco Fabriani,2
Donato Carrisi,2
Sandro Veronesi,2
Vittorio Catani,2
Daniele Del Giudice,2
Tullio Avoledo,2
Wu Ming,2
Valerio Evangelisti,2
Carlo Lucarelli,2
Leonardo Sciascia,2
Silvana De Mari,2
Diego Marani,2
Alberto Moravia,1
Susanna Tamaro,1
Pierfrancesco Prosperi,1
Fabio Geda,1
Sergio Atzeni,1
Enrico Brizzi,1
Giancarlo De Cataldo,1
Pino Cacucci,1
Andrea Molesini,1
Antonio Moresco,1
Luigi Garlando,1
Alessandro D'Avenia,1
Alessandro Gennari,1
Nicolai Lilin,1
Ermanno Cavazzoni,1
Vincenzo Cerami,1
Una Chi,1
Massimo Gramellini,1
Franco Lucentini,1
Wu Ming 1,1
Stefania Auci,1
Alberto Costantini,1
Rosella Postorino,1
Luca D’Andrea,1
Wu Ming 4,1
Donatella Di Pietrantonio,1
Marco Balzano,1
Michela Murgia,1
Anna Premoli,1
Paolo Cognetti,1
Marcello Simoni,1
Luther Blissett,1
Paolo Giordano,1
Maria Orsini Natale,1
Melissa Panarello,1
Pier Vittorio Tondelli,1
Giorgio Faletti,1
Milena Agus,1
Ignazio Silone,1
Dacia Maraini,1
Mario Rigoni Stern,1
Elsa Morante,1
Danila Comastri Montanari,1
Claudio Magris,1
Margaret Mazzantini,1
Antonio Pennacchi,1
Lara Cardella,1
Antonia Arslan,1
Eugenio Corti,1
Goliarda Sapienza,1
Giuseppe Pontiggia,1
Tiziano Scarpa,1
Carlo Fruttero,1
Italo Calvino,1
Tonino Guerra,1
Ornela Vorpsi,1
Roberto Saviano,1
Nanni Balestrini,1
Pierdomenico Baccalario,1
Erri De Luca,1
Alessandro Barbero,1
Giovanni Botero,1
Francesca Melandri,1
Paolo Sorrentino,1
Giovanni Arpino,1
Carlo Sgorlon,1
Silvia Avallone,1
Valeria Parrella,1
Maria Bellonci,1
Fabrizio De André,1
